libelf 0.195-1
libepoxy 1.5.10-3
libepubgen 0.1.1-6
libetonyek 0.1.13-2
libev 4.33-5
libevdev 1.13.6-1
libevent 2.1.12-5
libexif 0.6.26-1
libexttextcat 3.4.8-1
libfdk-aac 2.0.3-2
libffi 3.5.2-1
libfido2 1.17.0-1
libfontenc 1.1.9-1
libfreeaptx 0.2.2-1
libfreehand 0.1.2-6
libfyaml 0.9.6-2
libgcc 16.1.1+r12+g301eb08fa2c5-1
libgcrypt 1.12.2-1
libgee 0.20.8-1
libgfortran 16.1.1+r12+g301eb08fa2c5-1
libgirepository 1.86.0-2
libgit2 1:1.9.4-1
libglvnd 1.7.0-3
libgme 0.6.5-1
libgomp 16.1.1+r12+g301eb08fa2c5-1
libgpg-error 1.61-1
libgphobos 16.1.1+r12+g301eb08fa2c5-1
libgphoto2 2.5.33-1
libgtop 2.41.3-2
libgudev 238-3
libhandy 1.8.3-2
libharu 2.4.6-1
libheif 1.23.0-1
libice 1.1.2-1
libid3tag 0.16.4-1
libidn 1.43-1
libidn2 2.3.8-1
libiec61883 1.2.0-9
libieee1284 0.2.11-19
libimagequant 4.4.1-2
libimobiledevice 1.4.0-2
libimobiledevice-glue 1.3.2-1
libindi 2.2.1.1-1
libinih 62-2
libinput 1.31.2-1
libiscsi 1.20.3-1
libisl 0.27-1
libisoburn 1.5.8.2-1
libisofs 1.5.8.2-1
libixion 0.20.0-7
libjpeg-turbo 3.1.4.1-1
libjuice 1.7.2-1
libjxl 0.11.2-2
libkdcraw 26.04.1-1
libksane 26.04.1-1
libksba 1.8.0-1
liblangtag 0.6.8-1
liblc3 1.1.3-2
libldac 2.0.2.3-3
libldap 2.6.13-1
libliftoff 0.5.0-1
liblouis 3.37.0-1
liblqr 0.4.3-1
liblrdf 0.6.1-5
liblsan 16.1.1+r12+g301eb08fa2c5-1
libltc 1.3.2-2
libluv 1.52.1-1
libmad 0.15.1b-10
libmakepkg-dropins 20-1
libmalcontent 0.14.0-4
libmanette 0.2.13-2
libmatroska 1.7.1-2
libmaxminddb 1.13.3-1
libmd 1.2.0-1
libmfx 23.2.2-6
libmicrodns 0.2.0-2
libmm-glib 1.24.2-1
libmnl 1.0.5-2
libmodplug 0.8.9.0-7
libmpc 1.4.1-1
libmpcdec 1:0.1+r475-6
libmpdclient 2.23-1
libmspack 1:1.11-2
libmspub 0.1.4-19
libmtp 1.1.23-1
libmupdf 1.27.2-2
libmwaw 0.3.22-4
libmysofa 1.3.4-1
libnbd 1.24.2-2
libndp 1.9-1
libnet 2:1.3-1
libnetfilter_conntrack 1.1.1-1
libnewt 0.52.25-2
libnfnetlink 1.0.2-2
libnfs 6.0.2-5
libnftnl 1.3.1-1
libnghttp2 1.69.0-1
libnghttp3 1.15.0-1
libngtcp2 1.22.1-1
libnice 0.1.23-1
libnl 3.12.0-1
libnm 1.56.1-1
libnma 1.10.6-3
libnma-common 1.10.6-3
libnotify 0.8.8-1
libnova 0.16-3
